軍荼利明王	ぐんだりみょうおう	密教において宝生如来の教輪転身とされ、様々な障碍を除くとされ、五大明王の一尊としては南方に配される。
五大明王	ごだいみょうおう	仏教における信仰対象であり、密教特有の尊格である明王のうち、中心的役割を担う5名の明王を組み合わせたものである。
不動明王	ふどうみょうおう	仏教の信仰対象であり、密教特有の尊格である明王の一尊。シヴァ神の化身とも言われる。また、五大明王の中心となる明王でもある。
